fid,fuel,cost_grid,people_affected_sum_all,pp_unique_sum,map_type,frn
AUA3SV_1122,1207.9732845297672,0.3234962831968307,13353.161007404327,13353.161007404327,D,n
DLH4UX_557,1074.516010121442,0.3344343528145075,9100.006989106536,9100.006989106536,D,n
EIN60R_1659,973.8918345855329,0.2096847411553106,6738.529662132263,6738.529662132263,D,n
EIN611_1579,998.4508698764782,0.20919180666772852,9787.704710960388,9787.704710960388,D,n
EIN84X_1515,1011.2331244153694,0.22081141016511313,28312.461303710938,28312.461303710938,D,n
EZY16MH_978,930.0289026918649,0.20367696285722378,9391.016661643982,9391.016661643982,D,n
ITY109_1534,1086.1234173046719,0.3318677709129291,28352.88461303711,28352.88461303711,D,n
ITY121_1784,1151.5735608002112,0.31113730483092794,26406.07650756836,26406.07650756836,D,n
VLG41JT_193,1099.4635426970458,0.3389301285881055,10179.115169525146,10179.115169525146,D,n
VLG8379_316,991.6970462982476,0.21975024512319713,28312.461303710938,28312.461303710938,D,n
VLG98RR_135,1003.173300977061,0.22236516768964243,28312.461303710938,28312.461303710938,D,n
